process,true_rate,horizon,t_opt,alpha,iterations,seed,simultaneous_noncoverage_rate,empirical_coverage,monte_carlo_standard_error,upper_three_se,material_undercoverage,method
bernoulli_mean,0.01,500,500,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.01,500,1000,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,500,250,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,500,500,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,500,1000,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.5,500,250,0.05,20000,12014,0.00375,0.99625,0.0004322000404905117,0.005046600121471535,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.5,500,500,0.05,20000,12014,0.00065,0.99935,0.00018021896404096877,0.0011906568921229064,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.5,500,1000,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.9,500,250,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.9,500,500,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.9,500,1000,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
