classifier,repeat,fold,train_n,test_n,source_group_overlap,raw_auc,symmetric_auc,seed,mean_fold_symmetric_auc
linear_svm,3,2,148,37,0,1.0,1.0,12016,
linear_svm,3,3,148,37,0,0.9707602339181286,0.9707602339181286,12016,
linear_svm,3,4,148,37,0,0.9970760233918128,0.9970760233918128,12016,
linear_svm,3,5,148,37,0,1.0,1.0,12016,
linear_svm,3,ALL_OOF,,185,0,0.9942716857610474,0.9942716857610474,12016,0.9935672514619883
linear_svm,4,1,148,37,0,1.0,1.0,12017,
linear_svm,4,2,148,37,0,1.0,1.0,12017,
linear_svm,4,3,148,37,0,1.0,1.0,12017,
linear_svm,4,4,148,37,0,1.0,1.0,12017,
linear_svm,4,5,148,37,0,0.9824561403508772,0.9824561403508772,12017,
linear_svm,4,ALL_OOF,,185,0,0.9942716857610474,0.9942716857610474,12017,0.9964912280701755
linear_svm,5,1,148,37,0,1.0,1.0,12018,
linear_svm,5,2,148,37,0,1.0,1.0,12018,
linear_svm,5,3,148,37,0,1.0,1.0,12018,
linear_svm,5,4,148,37,0,0.9736842105263157,0.9736842105263157,12018,
linear_svm,5,5,148,37,0,0.9970760233918129,0.9970760233918129,12018,
linear_svm,5,ALL_OOF,,185,0,0.9947393032499415,0.9947393032499415,12018,0.9941520467836258
linear_svm,6,1,148,37,0,1.0,1.0,12019,
linear_svm,6,2,148,37,0,1.0,1.0,12019,
linear_svm,6,3,148,37,0,1.0,1.0,12019,
linear_svm,6,4,148,37,0,0.9707602339181286,0.9707602339181286,12019,
linear_svm,6,5,148,37,0,1.0,1.0,12019,
linear_svm,6,ALL_OOF,,185,0,0.9950900163666121,0.9950900163666121,12019,0.9941520467836258
linear_svm,7,1,148,37,0,1.0,1.0,12020,
linear_svm,7,2,148,37,0,1.0,1.0,12020,
linear_svm,7,3,148,37,0,0.9824561403508771,0.9824561403508771,12020,
linear_svm,7,4,148,37,0,1.0,1.0,12020,
linear_svm,7,5,148,37,0,1.0,1.0,12020,
linear_svm,7,ALL_OOF,,185,0,0.994388590133271,0.994388590133271,12020,0.9964912280701753
linear_svm,8,1,148,37,0,1.0,1.0,12021,
linear_svm,8,2,148,37,0,0.9941520467836257,0.9941520467836257,12021,
linear_svm,8,3,148,37,0,1.0,1.0,12021,
linear_svm,8,4,148,37,0,0.9824561403508771,0.9824561403508771,12021,
linear_svm,8,5,148,37,0,1.0,1.0,12021,
linear_svm,8,ALL_OOF,,185,0,0.9952069207388357,0.9952069207388357,12021,0.9953216374269005
linear_svm,9,1,148,37,0,1.0,1.0,12022,
linear_svm,9,2,148,37,0,1.0,1.0,12022,
linear_svm,9,3,148,37,0,1.0,1.0,12022,
linear_svm,9,4,148,37,0,1.0,1.0,12022,
linear_svm,9,5,148,37,0,0.9912280701754386,0.9912280701754386,12022,
linear_svm,9,ALL_OOF,,185,0,0.9962590600888472,0.9962590600888472,12022,0.9982456140350877
random_forest,0,1,148,37,0,1.0,1.0,12013,
random_forest,0,2,148,37,0,0.9970760233918128,0.9970760233918128,12013,
random_forest,0,3,148,37,0,1.0,1.0,12013,
random_forest,0,4,148,37,0,0.9941520467836257,0.9941520467836257,12013,
random_forest,0,5,148,37,0,1.0,1.0,12013,
random_forest,0,ALL_OOF,,185,0,0.9982464344166472,0.9982464344166472,12013,0.9982456140350877
random_forest,1,1,148,37,0,1.0,1.0,12014,
random_forest,1,2,148,37,0,1.0,1.0,12014,
random_forest,1,3,148,37,0,1.0,1.0,12014,
random_forest,1,4,148,37,0,1.0,1.0,12014,
random_forest,1,5,148,37,0,1.0,1.0,12014,
random_forest,1,ALL_OOF,,185,0,0.9984802431610943,0.9984802431610943,12014,1.0
random_forest,2,1,148,37,0,1.0,1.0,12015,
random_forest,2,2,148,37,0,0.9912280701754386,0.9912280701754386,12015,
random_forest,2,3,148,37,0,1.0,1.0,12015,
random_forest,2,4,148,37,0,1.0,1.0,12015,
random_forest,2,5,148,37,0,0.9941520467836258,0.9941520467836258,12015,
random_forest,2,ALL_OOF,,185,0,0.9985971475333179,0.9985971475333179,12015,0.9970760233918128
random_forest,3,1,148,37,0,1.0,1.0,12016,
random_forest,3,2,148,37,0,1.0,1.0,12016,
random_forest,3,3,148,37,0,1.0,1.0,12016,
random_forest,3,4,148,37,0,0.9912280701754386,0.9912280701754386,12016,
random_forest,3,5,148,37,0,1.0,1.0,12016,
random_forest,3,ALL_OOF,,185,0,0.997311199438859,0.997311199438859,12016,0.9982456140350877
random_forest,4,1,148,37,0,1.0,1.0,12017,
random_forest,4,2,148,37,0,1.0,1.0,12017,
random_forest,4,3,148,37,0,0.9853801169590644,0.9853801169590644,12017,
random_forest,4,4,148,37,0,1.0,1.0,12017,
random_forest,4,5,148,37,0,1.0,1.0,12017,
random_forest,4,ALL_OOF,,185,0,0.9980126256722002,0.9980126256722002,12017,0.9970760233918128
random_forest,5,1,148,37,0,1.0,1.0,12018,
random_forest,5,2,148,37,0,1.0,1.0,12018,
random_forest,5,3,148,37,0,0.9941520467836257,0.9941520467836257,12018,
random_forest,5,4,148,37,0,1.0,1.0,12018,
random_forest,5,5,148,37,0,0.9970760233918129,0.9970760233918129,12018,
random_forest,5,ALL_OOF,,185,0,0.9978957212999766,0.9978957212999766,12018,0.9982456140350877
random_forest,6,1,148,37,0,0.9912280701754386,0.9912280701754386,12019,
random_forest,6,2,148,37,0,0.9970760233918128,0.9970760233918128,12019,
random_forest,6,3,148,37,0,1.0,1.0,12019,
random_forest,6,4,148,37,0,1.0,1.0,12019,
random_forest,6,5,148,37,0,1.0,1.0,12019,
random_forest,6,ALL_OOF,,185,0,0.9983633387888707,0.9983633387888707,12019,0.9976608187134502
random_forest,7,1,148,37,0,1.0,1.0,12020,
random_forest,7,2,148,37,0,1.0,1.0,12020,
random_forest,7,3,148,37,0,1.0,1.0,12020,
random_forest,7,4,148,37,0,1.0,1.0,12020,
random_forest,7,5,148,37,0,0.9912280701754387,0.9912280701754387,12020,
random_forest,7,ALL_OOF,,185,0,0.9976619125555296,0.9976619125555296,12020,0.9982456140350877
random_forest,8,1,148,37,0,1.0,1.0,12021,
random_forest,8,2,148,37,0,1.0,1.0,12021,
random_forest,8,3,148,37,0,1.0,1.0,12021,
random_forest,8,4,148,37,0,1.0,1.0,12021,
random_forest,8,5,148,37,0,0.9941520467836258,0.9941520467836258,12021,
random_forest,8,ALL_OOF,,185,0,0.997778816927753,0.997778816927753,12021,0.9988304093567251
random_forest,9,1,148,37,0,1.0,1.0,12022,
random_forest,9,2,148,37,0,0.9970760233918129,0.9970760233918129,12022,
random_forest,9,3,148,37,0,1.0,1.0,12022,
random_forest,9,4,148,37,0,1.0,1.0,12022,
random_forest,9,5,148,37,0,1.0,1.0,12022,
random_forest,9,ALL_OOF,,185,0,0.9985971475333177,0.9985971475333177,12022,0.9994152046783625
gradient_boosting,0,1,148,37,0,1.0,1.0,12013,
gradient_boosting,0,2,148,37,0,0.9649122807017544,0.9649122807017544,12013,
gradient_boosting,0,3,148,37,0,1.0,1.0,12013,
gradient_boosting,0,4,148,37,0,0.997076023391813,0.997076023391813,12013,
gradient_boosting,0,5,148,37,0,0.9970760233918128,0.9970760233918128,12013,
gradient_boosting,0,ALL_OOF,,185,0,0.9940963292027121,0.9940963292027121,12013,0.9918128654970759
gradient_boosting,1,1,148,37,0,1.0,1.0,12014,
gradient_boosting,1,2,148,37,0,1.0,1.0,12014,
gradient_boosting,1,3,148,37,0,0.9166666666666667,0.9166666666666667,12014,
gradient_boosting,1,4,148,37,0,1.0,1.0,12014,
gradient_boosting,1,5,148,37,0,1.0,1.0,12014,
gradient_boosting,1,ALL_OOF,,185,0,0.9779050736497545,0.9779050736497545,12014,0.9833333333333334
gradient_boosting,2,1,148,37,0,1.0,1.0,12015,
