left_provider,right_provider,n_paired_items,left_only_flips,right_only_flips,paired_risk_difference,bootstrap_95_low,bootstrap_95_high,bootstrap_reps,bootstrap_seed,mcnemar_exact_p,holm_adjusted_p,confirmatory,evidence_class
qwen2_5_vl_7b,internvl_8b,94,12,1,0.11702127659574468,0.05319148936170213,0.19148936170212766,10000,11011,0.00341796875,0.01025390625,False,DERIVED_FROM_REAL_EVIDENCE
qwen2_5_vl_7b,llava_onevision_7b,94,12,3,0.09574468085106383,0.02127659574468085,0.18085106382978725,10000,11011,0.03515625,0.0703125,False,DERIVED_FROM_REAL_EVIDENCE
internvl_8b,llava_onevision_7b,94,1,3,-0.02127659574468085,-0.06382978723404255,0.02127659574468085,10000,11011,0.625,0.625,False,DERIVED_FROM_REAL_EVIDENCE
