provider,model,status,n,original_accuracy,consistency,gap,cs_lower_bound,cs_upper_bound,certified,control_absent,control_present,spurious_flip_rate,source
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,run,91,0.9231,0.1758,0.7473,0.364,1.0,False,60/60,50/60,0.1277,data/results/main_real_200/pilot_report/pilot_result.json
internvl_8b,OpenGVLab/InternVL2-8B,run,91,0.9231,0.0989,0.8242,0.4409,1.0,False,58/60,58/60,0.0106,data/results/main_real_200/pilot_report__internvl_8b/pilot_result.json
llava_onevision_7b,llava-hf/llava-onevision-qwen2-7b-ov-hf,run,91,0.8901,0.1429,0.7473,0.364,1.0,False,60/60,58/60,0.0319,data/results/main_real_200/pilot_report__llava_onevision_7b/pilot_result.json
