stage,provider/model,hardware,accelerator,wall_time_seconds,peak_RAM_bytes,peak_VRAM_bytes,input_item_count,output_item_count,retry_count,software_environment_hash,snapshot_hash,code_identity,energy,carbon,paper_evidence
audit_claims_redteam_gpu_planning_operator_pack,all_or_not_applicable,arm64,CPU,1.0575780409853905,275070976,NOT_MEASURED,0,49,0,db460a1165475e63b681b37071c72a6077eb1e1067aac74cee1011cd97b1f08c,NOT_APPLICABLE,79d7fe9bc7f3778811071afdd1242241127ebaa182ac29cb092af87c13eacf33,NOT_MEASURED,NOT_MEASURED,False
duplicate_leakage_contamination,all_or_not_applicable,arm64,CPU,2.0210551249911077,1688551424,NOT_MEASURED,185,3,0,db460a1165475e63b681b37071c72a6077eb1e1067aac74cee1011cd97b1f08c,NOT_APPLICABLE,79d7fe9bc7f3778811071afdd1242241127ebaa182ac29cb092af87c13eacf33,NOT_MEASURED,NOT_MEASURED,False
human_review_infrastructure,all_or_not_applicable,arm64,CPU,0.001728750008624047,1688551424,NOT_MEASURED,0,1,0,db460a1165475e63b681b37071c72a6077eb1e1067aac74cee1011cd97b1f08c,NOT_APPLICABLE,79d7fe9bc7f3778811071afdd1242241127ebaa182ac29cb092af87c13eacf33,NOT_MEASURED,NOT_MEASURED,False
image_quality_and_detectability,all_or_not_applicable,arm64,CPU,22.0640678749769,1688551424,NOT_MEASURED,185,10,0,db460a1165475e63b681b37071c72a6077eb1e1067aac74cee1011cd97b1f08c,NOT_APPLICABLE,79d7fe9bc7f3778811071afdd1242241127ebaa182ac29cb092af87c13eacf33,NOT_MEASURED,NOT_MEASURED,False
pilot_baselines_ablations_heterogeneity,all_or_not_applicable,arm64,CPU,0.10051149997161701,1688551424,NOT_MEASURED,555,18,0,db460a1165475e63b681b37071c72a6077eb1e1067aac74cee1011cd97b1f08c,NOT_APPLICABLE,79d7fe9bc7f3778811071afdd1242241127ebaa182ac29cb092af87c13eacf33,NOT_MEASURED,NOT_MEASURED,False
prospective_candidate_selection,all_or_not_applicable,arm64,CPU,0.0008108329493552446,1688551424,NOT_MEASURED,0,3,0,db460a1165475e63b681b37071c72a6077eb1e1067aac74cee1011cd97b1f08c,NOT_APPLICABLE,79d7fe9bc7f3778811071afdd1242241127ebaa182ac29cb092af87c13eacf33,NOT_MEASURED,NOT_MEASURED,False
statistics_and_confidence_sequences,all_or_not_applicable,arm64,CPU,55.98415383399697,1688551424,NOT_MEASURED,0,25,0,db460a1165475e63b681b37071c72a6077eb1e1067aac74cee1011cd97b1f08c,NOT_APPLICABLE,79d7fe9bc7f3778811071afdd1242241127ebaa182ac29cb092af87c13eacf33,NOT_MEASURED,NOT_MEASURED,False
