model,evidence_class,paper_evidence,n_frozen_intervention_items,n_relevant_endpoint_items,n_specificity_items,original_image_accuracy_all_frozen,edited_image_accuracy_all_frozen,raw_answer_change_rate_all_frozen,raw_consistency_all_frozen,semantic_update_successes,semantic_update_success_rate,conditional_semantic_update_rate_given_original_correct,original_correct_subset_n,irrelevant_flips,irrelevant_flip_rate,specificity_rate,point_estimate_joint_decision,standard_exact_ci_response_lower,standard_exact_ci_spurious_upper,standard_exact_ci_joint_decision,bootstrap_response_lower_95,bootstrap_spurious_upper_95,bootstrap_joint_decision,cs_response_lower,cs_spurious_upper,confidence_sequence_joint_decision,multiplicity_corrected_response_lower,multiplicity_corrected_spurious_upper,multiplicity_corrected_joint_decision,joint_balance_score
qwen2_5_vl_7b,RETROSPECTIVE_DIAGNOSTIC,False,91,91,94,0.9230769230769231,0.25274725274725274,0.17582417582417584,0.8241758241758241,16,0.17582417582417584,0.19047619047619047,84,12,0.1276595744680851,0.8723404255319149,False,0.11350849097027878,0.19861763364281465,False,0.0989010989010989,0.20212765957446807,False,0.0,0.3613639097063738,False,0.09168090106409635,0.23201735567420517,False,0.17582417582417584
internvl_8b,RETROSPECTIVE_DIAGNOSTIC,False,91,91,94,0.9230769230769231,0.17582417582417584,0.0989010989010989,0.9010989010989011,9,0.0989010989010989,0.10714285714285714,84,1,0.010638297872340425,0.9893617021276596,False,0.05257083300210467,0.04947269603235088,False,0.04395604395604396,0.031914893617021274,False,0.0,0.24434263311062906,False,0.03837919586362343,0.07062319599509538,False,0.0989010989010989
llava_onevision_7b,RETROSPECTIVE_DIAGNOSTIC,False,91,91,94,0.8901098901098901,0.21978021978021978,0.17582417582417584,0.8241758241758241,13,0.14285714285714285,0.16049382716049382,81,3,0.031914893617021274,0.9680851063829787,False,0.08661865899922085,0.08042064476609062,False,0.07692307692307693,0.07446808510638298,False,0.0,0.2656192288553099,False,0.0677529584844423,0.10532871790001634,False,0.14285714285714285
